episode,locations
GAG318,"[('Goiânia', -49.2532691, -16.680882)]"
GAG317,"[('Südamerika', -61.0006565, -21.0002179), ('Englands', -1.8595357657235332, 51.7039725)]"
GAG316,"[('New York', -74.0060152, 40.7127281)]"
GAG315,"[('Frankreich', 1.8883335, 46.603354)]"
GAG314,"[('Stadt Wien:', 12.75686945624503, 50.859699199999994), ('Wien', 16.3725042, 48.2083537), ('Deutschland', 10.4478313, 51.1638175), ('Hamburg', 10.000654, 53.550341), ('Soho', -0.1350494, 51.5140654)]"
GAG313,"[('England', -1.2649062, 52.5310214)]"
GAG312,"[('England', -1.2649062, 52.5310214)]"
GAG311,"[('Korea', 127.6961188, 36.638392), ('Japan', 139.2394179, 36.5748441), ('Korea', 127.6961188, 36.638392), ('Busan.', 129.0752365, 35.1799528)]"
GAG309,"[('Frankreichs', 12.499366, 41.909354)]"
GAG308,"[('Deutschland', 10.4478313, 51.1638175), ('Reisens', 13.416636123947946, 52.52312965), ('Côte d’Azur.', -48.54505494731274, -27.591857150000003)]"
GAG307,"[('Angola', 17.5691241, -11.8775768), ('Portugiesen', 32.908820654080216, -25.97605625), ('Njinga', 34.7380274, -20.1188332)]"
GAG306,"[('Bayern', 11.4038717, 48.9467562), ('Europas', 8.958095134724655, 51.14825865)]"
GAG305,"[('Piltdown', 0.0566429, 50.9841369), ('East Sussex', 0.3699977891068864, 50.9404266)]"
GAG304,"[('London', -0.1276474, 51.5073219), ('Portugal', -8.1353519, 39.6621648)]"
GAG303,"[('Florenz', 11.2555757, 43.7698712)]"
GAG302,"[('Fürstentum Sealand', 1.4825394875791087, 51.8943943), ('Sealand', 1.4825394875791087, 51.8943943)]"
GAG301,"[('Seacole', -0.1632557, 51.5160287)]"
GAG299,"[('Rugby', -1.2620038, 52.3726682)]"
GAG298,"[('Frankreich', 1.8883335, 46.603354), ('Absinthe', 5.9907336, 47.2456316)]"
GAG297,"[('Deutschland', 10.4478313, 51.1638175), ('USA', -100.445882, 39.7837304)]"
GAG296,"[('Herzogtum Bretagne', -1.5493813, 47.2157909)]"
GAG295,"[('Europa', 10.0, 51.0), ('Mexiko-Stadt', -99.1331785, 19.4326296), ('Naturhistorische Museum', 26.1989218, 39.0396197), ('Paris', 2.3200410217200766, 48.8588897), ('Axolotl', -99.1938973, 19.4316704), ('Axolotl', -99.1938973, 19.4316704), ('Mexiko', -102.0077097, 23.6585116)]"
